,Age,Gender,num_coffeeBags_per_year,spent_week,spent_month,SlrAY,Distance,Online,Decision
42,23,Female,0,40,114,83179,6.819163378,0,
43,26,Male,0,30,120,82682,7.121734498,0,1.0
44,56,Female,0,23,82,37038,7.287019222,1,0.0
45,50,Male,0,38,85,35152,7.579487694,0,0.0
46,45,Female,0,30,69,20969,7.714450653,0,0.0
47,23,Female,0,37,143,108258,8.66659061,0,1.0
48,29,Female,0,21,31,11092,9.03479957,1,0.0
49,25,Female,0,62,201,52169,9.083482786,0,1.0
50,23,Male,0,33,122,36792,9.190743085,1,0.0
51,54,Female,0,37,121,39735,9.431100897,0,0.0
52,29,Male,0,58,193,61629,9.870458559,0,1.0
53,28,Female,0,33,71,43637,10.04952989,0,0.0
54,23,Female,0,38,120,42794,10.07223268,1,0.0
55,41,Female,0,0,50,15371,10.20196676,0,0.0
56,21,Male,0,40,113,27664,10.2373863,1,0.0
57,29,Male,0,58,208,70989,10.78201419,1,1.0
58,21,Female,0,41,156,65015,10.96551957,0,1.0
59,17,Male,1,28,108,2873,0.1033625588,1,
60,39,Male,1,52,202,116543,0.1247858515,1,
61,24,Male,1,42,134,47894,0.3178371089,0,1.0
62,24,Male,1,24,66,42820,0.3542616992,1,1.0
63,44,Female,1,0,0,7800,0.3572657335,1,0.0
64,27,Female,1,29,105,43081,0.3647715557,1,
65,43,Female,1,0,0,18288,0.3691156249,1,0.0
66,24,Female,1,30,86,75089,0.5431742495,1,1.0
67,20,Female,1,18,65,13327,0.5933500857,1,
68,17,Male,1,37,117,4629,0.615381933,1,1.0
69,20,Female,1,21,55,13810,0.7818638792,1,1.0
70,24,Male,1,37,146,81091,0.8745547905,1,1.0
71,23,Male,1,37,99,56572,1.059019567,0,1.0
72,19,Male,1,34,125,15581,1.097394762,1,
73,18,Female,1,46,135,12703,1.147987299,1,
74,29,Female,1,49,167,40144,1.272422949,1,
75,37,Female,1,48,125,33340,1.283620712,1,1.0
76,31,Female,1,40,123,84293,1.285623642,1,1.0
77,19,Male,1,22,27,3322,1.343153538,1,1.0
78,17,Male,1,34,72,3692,1.485530609,1,1.0
79,25,Male,1,36,101,70644,1.508198564,0,1.0
80,21,Female,1,52,174,63230,1.81858546,0,1.0
81,18,Male,1,39,62,2037,1.826834977,1,
82,22,f ,1,17,32,30859,1.854121229,0,1.0
83,21,Male,1,60,199,79779,1.930749029,1,
84,26,Male,1,30,110,69900,1.977172366,0,
85,21,Female,1,60,210,64835,2.041967883,0,
86,17,Female,1,45,141,11365,2.323879819,1,
87,21,Male,1,26,49,21390,2.415843013,1,1.0
88,19,Male,1,47,153,15259,2.469038433,1,1.0
89,16,Male,1,40,95,5970,2.479496369,1,1.0
90,25,Female,1,30,74,39082,2.515074825,0,
91,25,Male,1,34,120,39432,2.597183765,0,1.0
92,19,Female,1,29,37,2453,2.636740354,1,
93,19,Female,1,38,148,15420,2.652501369,1,
94,20,Male,1,40,122,12844,2.658410182,1,
95,20,Male,1,18,31,14132,2.67143784,1,1.0
96,28,Female,1,40,158,158924,2.730648912,0,1.0
97,29,Female,1,35,118,39798,2.870721487,0,1.0
98,26,Male,1,59,185,73087,2.921695602,1,1.0
99,18,Male,1,37,84,2889,2.998779662,1,
100,29,Male,1,34,59,20679,3.002834655,1,1.0
101,54,Female,1,51,165,56572,3.005885312,0,1.0
102,23,Male,1,43,172,53659,3.01469092,0,
103,22,Female,1,57,178,62561,3.062199861,0,
104,57,Male,1,37,116,36276,3.199347831,1,1.0
105,39,Male,1,36,90,35342,3.201229456,0,
106,46,Female,1,32,103,57355,3.216406568,1,1.0
107,51,Male,1,41,118,76582,3.370648424,0,1.0
108,50,Male,1,19,49,23907,3.749454463,1,0.0
109,26,Male,1,23,67,27226,3.75039049,1,1.0
110,61,Male,1,0,0,13325,3.758175195,0,0.0
111,50,Female,1,0,58,33632,3.866096438,1,0.0
112,45,Male,1,45,169,113758,3.894899662,1,1.0
113,28,Male,1,35,54,22652,4.064549461,1,0.0
114,57,Female,1,41,158,72924,4.088638592,0,1.0
115,39,Female,1,38,85,42980,4.142037112,0,0.0
116,24,Male,1,36,142,71935,4.154044421,0,
117,56,Female,1,0,21,13749,4.213923505,0,0.0
118,29,Female,1,37,61,26455,4.396254245,1,0.0
119,55,Male,1,38,130,51292,4.424346386,1,1.0
120,27,Male,1,28,55,40872,4.481713593,0,0.0
121,23,Female,1,29,100,35442,4.536994914,1,0.0
122,33,Male,1,0,57,33167,4.594197881,0,0.0
123,27,Male,1,39,156,66523,4.743400698,0,1.0
124,52,Male,1,22,71,69707,4.746906037,1,0.0
125,29,Female,1,37,51,19038,4.808200301,0,0.0
126,30,Male,1,34,104,38227,4.832407724,0,1.0
127,26,Female,1,30,55,40859,4.889009407,0,
128,53,Male,1,41,124,32450,4.938200732,0,1.0
129,23,Male,1,21,51,80144,4.990330028,1,0.0
130,29,Male,1,32,103,41097,5.008858748,0,1.0
131,29,Female,1,34,120,72567,5.091339746,1,1.0
132,46,Female,1,41,161,62589,5.174576784,0,1.0
133,23,Male,1,59,198,73167,5.177543652,0,1.0
134,22,Male,1,38,114,92058,5.256317291,0,
135,48,Male,1,0,27,16673,5.26331846,0,0.0
136,27,Male,1,28,102,84315,5.284074291,0,
137,22,Male,1,33,120,81091,5.298158482,0,1.0
138,29,Male,1,49,164,69697,5.401406361,0,1.0
139,46,Female,1,0,0,7800,5.447687586,1,0.0
140,36,Female,1,50,198,53612,5.474069834,0,
141,28,Male,1,44,127,38682,5.526280889,1,1.0
142,26,Female,1,43,134,62254,5.729704798,0,1.0
143,27,Female,1,19,70,46894,5.752269406,1,0.0
144,33,Female,1,34,121,51545,5.843420619,1,
145,62,Female,1,21,48,17451,6.09361107,0,0.0
146,26,Female,1,21,41,19788,6.264791836,1,0.0
147,39,Male,1,40,148,83424,6.373416437,0,
148,38,Female,1,21,40,15379,6.389276423,1,0.0
149,49,Male,1,56,199,61600,6.412559315,1,1.0
150,32,Female,1,39,141,53591,6.440184361,0,
151,26,Female,1,35,47,21288,6.696573316,0,0.0
152,60,FEMALE,1,24,63,34034,6.785861218,1,0.0
153,29,Female,1,52,194,62008,6.866924789,1,1.0
154,49,Male,1,36,141,46844,6.937136727,0,1.0
155,21,Male,1,37,91,35225,6.979725874,1,
156,61,Female,1,31,100,68960,7.026060967,1,0.0
157,53,Female,1,57,208,139591,7.051153141,0,1.0
158,23,Female,1,32,87,36521,7.067551145,0,0.0
159,25,Male,1,34,107,33776,7.15932695,0,1.0
160,29,Male,1,35,123,47073,7.232830477,1,1.0
161,54,MALE,1,0,0,7800,7.382254671,0,0.0
162,36,Male,1,58,192,77858,7.686129196,0,1.0
163,52,Female,1,31,123,45558,7.693838341,1,1.0
164,46,Female,1,46,176,69372,7.911330535,0,1.0
165,57,Female,1,25,66,64707,8.031187751,1,0.0
166,41,Female,1,45,114,53585,8.308926843,0,0.0
167,46,Female,1,29,98,45644,8.395180859,1,0.0
168,29,Female,1,42,161,75719,8.56793706,1,1.0
169,59,Male,1,24,65,28143,8.806021537,0,0.0
170,24,Male,1,0,64,25588,8.821166644,1,0.0
171,30,Female,1,28,99,48258,8.944583815,0,0.0
172,49,Male,1,38,119,58769,9.202593446,0,0.0
173,24,Male,1,0,50,40859,9.21078302,1,0.0
174,58,Male,1,32,73,28359,9.216637991,0,0.0
175,54,Male,1,54,208,85615,9.22140306,0,1.0
176,23,Female,1,0,22,10969,9.235025831,1,0.0
177,23,Female,1,41,127,54489,9.264493307,1,0.0
178,45,Female,1,61,193,55374,9.363908636,1,1.0
179,24,Female,1,40,145,75728,9.459375273,0,1.0
180,29,Female,1,35,91,30097,9.459982918,0,0.0
181,22,Female,1,45,150,40519,9.647181383,1,1.0
182,58,Female,1,31,66,38224,9.82894271,0,0.0
183,57,Female,1,0,52,55144,9.858765946,0,0.0
184,53,Male,1,24,67,26901,10.14628578,1,0.0
185,46,Female,1,48,190,71697,10.2051206,1,1.0
186,34,Male,1,58,206,138591,10.21705133,0,1.0
187,25,Male,1,51,175,70260,10.21896625,1,1.0
188,31,Male,1,46,162,55402,10.2346574,0,1.0
189,52,Male,1,41,156,66676,10.49840409,1,1.0
190,55,Female,1,35,133,41001,10.5394051,1,0.0
191,25,Female,1,23,26,18669,10.62307711,1,0.0
192,23,Male,1,0,55,46756,10.65924369,1,0.0
193,35,Female,1,0,41,16288,10.69480655,0,0.0
194,25,Female,1,40,125,40957,10.71138489,1,0.0
195,26,Male,1,48,173,68515,10.82005942,1,1.0
196,52,Female,1,20,50,18415,10.94230192,1,0.0
197,26,Male,1,45,133,75147,10.98620254,0,0.0
198,33,Female,2,56,179,39726,0.01004778552,1,
199,18,Female,2,41,155,6980,0.03161397872,1,
200,22,Female,2,26,106,49122,0.07401640749,1,
201,16,Female,2,43,127,8126,0.2090955877,1,1.0
202,25,Female,2,0,54,20499,0.3092632313,1,1.0
203,21,Male,2,0,32,15288,0.3555889693,1,
204,28,Male,2,32,80,37186,0.5353023973,0,1.0
205,44,Female,2,0,0,18788,0.6534723136,1,0.0
206,21,Female,2,21,45,19925,0.717073088,1,1.0
207,25,Male,2,25,62,35192,0.7275298307,1,1.0
208,29,Male,2,38,143,66071,0.8658517905,1,1.0
209,27,Male,2,20,20,30192,0.9100077563,0,0.0
210,45,Female,2,0,0,10630,1.046481638,1,0.0
211,24,Female,2,37,67,30918,1.057084642,1,1.0
212,55,Female,2,47,176,60072,1.080981486,1,
213,18,Female,2,42,112,19155,1.20010782,1,1.0
214,22,Male,2,37,111,38611,1.228285318,0,
215,25,Male,2,39,148,52478,1.335699131,0,1.0
216,66,Male,2,45,158,59662,1.344492272,1,
217,22,Female,2,18,62,29887,1.402090273,0,1.0
218,19,Female,2,31,112,17918,1.452328266,1,
219,42,Female,2,40,117,78924,1.53966849,1,
220,30,Male,2,39,98,53894,1.644092816,0,
221,24,Female,2,35,130,43662,1.656053147,1,1.0
222,38,Male,2,39,115,39851,1.891882308,1,
223,55,Female,2,36,104,45926,1.903088627,0,
224,18,Male,2,32,88,3017,2.021501235,1,
225,21,Male,2,59,199,67257,2.039106174,1,
226,19,Male,2,32,77,3150,2.118585449,1,1.0
227,25,Female,2,38,150,50123,2.333291257,1,1.0
228,26,Male,2,27,103,48438,2.40804234,0,
229,17,Female,2,58,193,8714,2.436647797,1,1.0
230,25,Male,2,51,161,45447,2.508869998,0,1.0
231,57,Male,2,29,96,30859,2.565475702,0,
232,24,Male,2,40,144,64787,2.611155148,0,1.0
233,47,Female,2,0,0,10288,2.752511695,1,0.0
234,18,Female,2,24,93,11944,2.796678301,1,
235,24,Male,2,25,65,27526,2.80205062,0,1.0
236,22,Female,2,41,149,66158,2.859221238,1,
237,17,Male,2,21,54,2378,2.946511992,1,
238,61,Female,2,42,144,55697,3.060748952,0,
239,25,Male,2,60,195,46533,3.131777621,0,
240,26,Female,2,39,154,56248,3.175947808,0,1.0
241,21,Male,2,29,54,22819,3.216117365,1,
242,41,Female,2,44,130,49394,3.2519838,0,
243,49,Male,2,27,102,51597,3.320326578,0,
244,55,Female,2,53,186,46400,3.383143023,0,1.0
245,28,Female,2,45,177,52241,3.523420066,0,1.0
246,27,male,2,27,52,33081,3.592251537,1,0.0
247,55,Male,2,44,167,64996,3.604907639,1,1.0
248,38,Male,2,0,0,10152,3.646992018,0,0.0
249,44,Male,2,47,189,44177,3.666954084,0,
250,28,Female,2,39,143,72096,3.692559359,0,1.0
251,29,Female,2,23,68,33130,3.93088246,0,
252,18,Male,2,60,196,7323,4.152254163,1,
253,49,Male,2,50,164,40303,4.172846565,0,1.0
254,49,Male,2,40,111,38984,4.422545798,0,1.0
255,57,Female,2,44,133,42115,4.433385419,0,1.0
256,28,Male,2,0,63,34925,4.443295972,1,0.0
257,34,Male,2,0,0,10488,4.583790715,1,0.0
258,65,Male,2,22,38,15663,4.607189928,0,0.0
259,64,Female,2,0,0,11110,4.748906767,1,0.0
260,58,Male,2,0,0,8688,4.782561609,1,0.0
261,23,Male,2,44,132,40928,4.951782436,1,1.0
262,48,Female,2,47,186,73372,4.992014583,1,1.0
263,40,Female,2,45,134,47688,5.085825939,0,1.0
264,53,Female,2,39,143,56894,5.12619783,1,
265,62,Female,2,37,112,39666,5.140062341,1,
266,23,Male,2,38,133,41923,5.15360336,0,
267,51,Male,2,35,114,43769,5.164666272,1,1.0
268,23,Female,2,33,96,43984,5.186352675,1,
269,52,Female,2,18,67,41116,5.308460744,0,
270,41,Male,2,0,51,21288,5.353336069,1,0.0
271,46,Male,2,37,141,75903,5.353516925,0,1.0
272,24,Male,2,45,132,56364,5.355679546,1,
273,29,Female,2,38,143,78090,5.430340861,1,1.0
274,63,Male,2,29,54,18447,5.461797608,0,0.0
275,52,Female,2,25,62,32860,5.491629421,0,0.0
276,23,Female,2,42,145,54751,5.532936666,1,
277,23,Male,2,40,122,43704,5.55804508,0,1.0
278,20,Female,2,35,91,12361,5.593318415,0,
279,23,Female,2,52,183,72039,5.668573487,1,
280,45,Male,2,17,54,38151,5.743678341,0,
281,29,Male,2,51,197,66531,5.746548858,0,1.0
282,28,Female,2,45,146,47387,5.752491559,0,1.0
283,23,Male,2,41,155,79932,5.758757118,0,
284,49,Female,2,22,60,59394,5.768019589,0,0.0
285,53,Female,2,55,185,80019,5.795050578,1,1.0
286,26,Male,2,34,122,46716,6.181315065,0,
287,57,Male,2,0,0,13088,6.259451011,1,0.0
288,58,Female,2,26,32,32538,6.284193154,0,0.0
289,29,Female,2,40,160,56004,6.314936319,1,1.0
290,25,Male,2,46,159,77457,6.36121919,0,
291,24,Female,2,42,152,50566,6.392869538,0,
292,25,Male,2,37,146,49634,6.416231621,1,
293,23,Male,2,40,151,82197,6.502087721,1,1.0
294,28,Female,2,52,173,49969,6.770132223,1,1.0
295,27,Female,2,27,108,35145,6.807978861,1,1.0
296,24,Male,2,45,167,96543,6.916668799,1,
297,26,Female,2,42,152,39394,6.948882122,0,
298,41,Male,2,36,146,74174,6.970961229,1,1.0
299,26,Male,2,35,40,31288,7.067276416,0,0.0
300,42,Female,2,35,139,41879,7.403512096,0,1.0
301,29,Female,2,35,117,38506,7.407588822,0,1.0
302,60,Male,2,22,53,33920,7.569553923,0,0.0
303,51,Male,2,40,124,42642,7.848926536,1,1.0
304,27,Male,2,31,67,38708,7.963398923,1,0.0
305,57,Male,2,22,25,12570,8.391614414,0,0.0
306,27,Male,2,21,53,39303,8.553468022,0,0.0
307,53,Male,2,39,129,44192,9.186538872,0,0.0
308,59,Female,2,28,50,34192,9.278543416,0,0.0
309,53,Female,2,27,44,18180,9.30340494,0,0.0
310,64,Female,2,26,84,46192,9.783757791,1,0.0
311,54,Male,2,42,131,40644,9.985498816,1,0.0
312,55,Male,2,0,51,21591,10.01006744,0,0.0
313,46,Female,2,38,104,66362,10.09631345,1,0.0
314,63,Female,2,22,39,40733,10.11277426,0,0.0
315,51,Female,2,39,118,45198,10.31859884,1,0.0
316,23,Male,2,55,183,42027,10.4395738,1,1.0
317,35,Male,2,0,0,8649,10.56016533,0,0.0
318,54,Male,2,0,52,41573,10.61788487,1,0.0
319,23,Male,2,40,144,80376,10.74990359,1,1.0
320,61,Female,2,0,22,12078,10.79295651,0,0.0
321,26,Male,2,52,195,87924,10.82352295,1,1.0
322,17,Male,3,57,203,7305,0.01308949576,1,
323,25,Female,3,24,46,17955,0.1147363477,0,
324,20,Female,3,19,63,13488,0.1322618307,1,1.0
325,25,Male,3,49,189,69803,0.1378929346,0,1.0
326,24,Female,3,24,91,28140,0.1557105529,1,1.0
327,24,Male,3,50,165,44269,0.1718953403,1,
328,24,Female,3,32,69,34396,0.1946438084,0,1.0
329,23,Male,3,24,96,84801,0.2663573271,0,1.0
330,27,Female,3,0,50,22593,0.2798210932,0,1.0
331,21,Female,3,19,30,19925,0.4800513649,0,1.0
332,17,Female,3,40,151,7620,0.5468636934,1,1.0
333,29,Male,3,56,185,43253,0.5929707133,1,
334,25,Male,3,20,51,34192,0.6891014113,1,
335,16,Male,3,33,108,7603,0.759526388,1,1.0
336,27,Male,3,36,96,35249,0.7861044304,0,
337,52,Male,3,41,159,107147,0.8264266905,0,
338,18,Male,3,44,130,15966,0.8794762761,1,
339,35,Male,3,47,123,45303,0.9937861263,0,
340,17,Female,3,36,56,4922,1.017026536,1,1.0
341,16,Female,3,31,70,3526,1.125405763,1,1.0
342,33,Female,3,44,137,40171,1.352207242,1,1.0
343,18,Male,3,51,163,6771,1.465197547,1,1.0
344,26,Male,3,27,59,37896,1.586453492,0,
345,54,Female,3,19,36,23597,1.645519145,1,
346,21,Male,3,0,57,7800,1.676542474,0,1.0
347,53,Male,3,43,169,61248,1.797802851,0,
348,50,Female,3,54,172,56894,1.922490193,1,
349,66,Male,3,0,0,7800,1.968910903,0,
350,16,Female,3,60,203,4722,2.038746396,1,1.0
351,24,Female,3,24,35,13354,2.059868489,0,
352,36,Male,3,55,201,57267,2.108992788,0,1.0
353,27,Male,3,38,103,35253,2.118430119,1,
354,18,Female,3,20,36,2717,2.228459592,1,
355,26,Female,3,36,105,44449,2.245882069,1,
356,21,Male,3,44,129,60208,2.259841976,1,1.0
357,58,Male,3,49,181,104829,2.382216411,0,
358,23,Female,3,58,186,63225,2.406568461,1,1.0
359,17,Male,3,45,119,3056,2.455904188,1,
360,63,Female,3,47,141,83230,2.464243734,1,
361,28,Female,3,43,140,55089,2.464304857,1,1.0
362,29,Male,3,18,22,10962,2.604549553,0,0.0
363,29,Male,3,38,121,40853,2.766345267,0,1.0
364,21,Female,3,44,132,76686,2.803568556,1,
365,33,Male,3,29,114,63144,2.865162318,0,1.0
366,24,Male,3,54,203,54862,2.886036358,0,1.0
367,22,Male,3,38,72,33984,2.891061802,0,1.0
368,35,Female,3,34,91,58655,2.935177666,0,1.0
369,67,Female,3,0,62,26788,2.939527618,0,
370,32,Female,3,23,53,69394,3.00130053,0,
371,39,Male,3,41,163,77008,3.036677267,1,
372,22,Male,3,39,130,71302,3.067975152,0,
373,51,Female,3,30,49,31815,3.072476027,0,0.0
374,53,Male,3,32,111,35753,3.291513525,0,1.0
375,27,Female,3,55,180,43200,3.320412667,0,1.0
376,54,Male,3,28,102,65166,3.328346608,1,1.0
377,45,Female,3,42,120,36059,3.454760825,0,1.0
378,26,Female,3,40,153,65036,3.462770701,1,1.0
379,26,Female,3,48,170,41837,3.633549656,1,1.0
380,58,Female,3,22,78,35392,3.648800866,0,0.0
381,26,Male,3,34,87,55739,3.664126834,0,1.0
382,21,Female,3,23,52,23136,3.822494944,0,
383,28,Male,3,51,196,66739,3.839522251,1,1.0
384,57,Male,3,29,110,34655,3.943056398,0,1.0
385,25,Male,3,0,43,15247,3.959508706,0,1.0
386,29,Male,3,22,71,30607,4.014700896,1,
387,38,Male,3,29,113,42825,4.18541677,0,
388,53,Male,3,39,102,41394,4.21612904,0,1.0
389,28,Male,3,36,119,75635,4.227771,1,1.0
390,24,Female,3,57,199,71559,4.301287196,1,
391,59,Female,3,50,162,70621,4.530685452,0,
392,23,Female,3,53,185,41738,4.558833647,1,1.0
393,55,Female,3,0,25,11556,4.709853276,1,
394,41,Female,3,0,0,13476,4.821167881,1,0.0
395,32,Female,3,0,0,20038,4.831927581,0,0.0
396,56,Female,3,30,54,21574,4.837411399,1,0.0
397,35,Male,3,24,38,18163,4.884646238,1,0.0
398,22,Female,3,21,76,46414,5.425349402,0,
399,26,Female,3,42,129,78879,5.570707727,1,
400,24,Female,3,32,95,54489,5.800766552,0,
401,25,Female,3,62,199,60001,5.829231043,0,1.0
402,26,Female,3,58,210,71091,6.004419403,1,1.0
403,50,Male,3,50,195,80515,6.030974729,1,1.0
404,52,Male,3,24,57,21983,6.0711441,0,0.0
405,23,Female,3,26,103,37288,6.108822,0,1.0
406,30,Female,3,25,79,39066,6.115026233,0,0.0
407,45,Female,3,18,26,14514,6.154848105,0,0.0
408,23,Female,3,32,102,39662,6.319477143,0,
409,50,Male,3,52,187,48815,6.369973295,0,
410,28,Female,3,39,143,77037,6.413463193,0,1.0
411,34,Male,3,0,22,12187,6.486773408,0,0.0
412,26,Male,3,29,106,43913,6.592655558,0,1.0
413,67,Female,3,27,40,28435,6.660143725,0,0.0
414,39,Female,3,0,0,11844,6.720263997,0,0.0
415,28,Female,3,25,99,34812,6.902209746,0,0.0
416,48,Female,3,0,49,30538,6.910566605,0,
417,24,Female,3,20,25,12087,6.950939375,0,0.0
418,28,Male,3,25,77,30351,6.981226664,1,0.0
419,23,Male,3,41,128,40504,6.986474409,1,
420,25,Male,3,53,202,49110,6.996626112,0,
421,29,Male,3,43,124,39716,7.044791492,1,1.0
422,45,Female,3,34,109,88458,7.10620757,1,1.0
423,51,Female,3,33,105,74508,7.208970432,0,1.0
424,25,Female,3,38,107,34859,7.261594162,1,1.0
425,63,Female,3,0,55,50303,7.493407807,0,0.0
426,23,Female,3,34,105,39693,7.570852329,0,1.0
427,52,Male,3,17,51,66478,7.816531894,1,0.0
428,23,Female,3,46,162,63687,8.013970653,1,1.0
429,27,Male,3,34,104,31648,8.080057946,0,0.0
430,23,Male,3,46,165,50216,8.097775027,0,1.0
431,42,Male,3,33,113,76591,8.350390045,0,0.0
432,28,Male,3,55,209,64688,8.61340888,1,1.0
433,25,Female,3,0,38,16559,8.737107214,0,0.0
434,47,Female,3,0,0,7800,8.75700999,0,0.0
435,64,Male,3,19,71,29549,8.790611472,0,0.0
436,23,Male,3,16,44,39394,8.817631564,1,0.0
437,60,Female,3,43,132,74767,9.412240581,0,0.0
438,56,Female,3,40,121,44526,9.604676036,1,0.0
439,53,Female,3,0,40,22747,9.797133774,0,0.0
440,51,Male,3,32,105,67041,10.0166276,1,0.0
441,26,Female,3,37,118,39081,10.39961561,1,0.0
442,24,Male,3,38,142,17165,10.40409592,0,
443,56,Female,3,32,121,33081,10.47315623,1,0.0
444,26,Female,3,40,146,63908,10.65049976,0,1.0
445,29,Female,3,32,67,30217,10.73506609,0,0.0
446,33,Male,3,0,21,9886,10.74910227,0,0.0
447,27,Male,3,41,147,59533,10.76497465,0,1.0
448,50,Female,3,37,107,46992,10.77113767,0,0.0
449,23,Male,3,47,140,61478,10.86802448,1,1.0
450,25,Male,3,54,170,51644,10.87376333,1,1.0
451,23,Male,3,21,64,46526,10.91083942,1,0.0
452,22,Male,4,49,169,113924,0.008437153771,0,1.0
453,21,Male,4,33,101,64697,0.0250520261,0,
454,19,Female,4,41,118,15742,0.1589610232,1,
455,35,Male,4,54,191,60947,0.2088347999,1,
456,19,Male,4,47,173,15098,0.2221722895,1,1.0
457,23,Female,4,41,141,95147,0.2271703202,0,1.0
458,21,Male,4,26,38,22810,0.2453095295,1,1.0
459,35,Male,4,36,126,37262,0.27940917,1,1.0
460,19,Female,4,23,56,2868,0.4242428245,1,
461,43,Male,4,0,0,12323,0.4782138166,1,0.0
462,23,Male,4,61,198,74424,0.5517073055,1,1.0
463,25,Male,4,43,154,73258,0.5546689604,1,1.0
464,27,Male,4,33,118,76738,0.5673183706,1,
465,44,Female,4,46,118,44997,0.5906023027,1,1.0
466,20,Female,4,36,109,13005,0.6084343063,1,
467,56,Male,4,33,82,32352,0.6130104807,1,1.0
468,18,Female,4,35,99,14098,0.6963857384,1,1.0
469,23,Male,4,48,180,63144,0.7733165838,1,1.0
470,18,Male,4,27,53,3335,0.834629036,1,1.0
471,21,Male,4,53,207,119258,0.8395001543,0,1.0
472,51,Female,4,31,92,44047,0.9402796675,1,1.0
473,28,Male,4,34,38,26288,1.036652929,0,1.0
474,24,Female,4,24,35,14825,1.058947942,1,
475,19,Female,4,27,87,18240,1.101479825,1,
476,48,Male,4,49,157,39598,1.130362586,0,1.0
477,31,Female,4,45,149,76072,1.16052429,0,1.0
478,29,Male,4,40,116,33276,1.242161584,1,1.0
479,27,Male,4,49,147,43392,1.395552216,1,
480,25,Female,4,30,64,27511,1.423217983,0,1.0
481,24,Female,4,40,157,57644,1.456939206,1,1.0
482,49,Male,4,29,50,21388,1.621035762,0,1.0
483,17,Female,4,38,125,8126,1.723468063,1,1.0
484,34,Female,4,41,149,51047,1.735857052,0,1.0
485,22,Female,4,0,68,20166,1.769157382,0,1.0
486,24,Male,4,25,53,21877,1.817934272,0,1.0
487,17,Female,4,41,162,6226,1.870666389,1,1.0
488,30,Male,4,40,150,84424,2.003489862,1,1.0
489,32,Female,4,44,120,50346,2.069168613,1,1.0
490,57,Male,4,22,38,31970,2.104352366,0,1.0
491,24,Male,4,35,103,65900,2.116199226,1,1.0
492,54,Female,4,0,0,25663,2.150340316,1,0.0
493,25,Male,4,57,182,76044,2.151196659,0,1.0
494,36,Male,4,0,57,33007,2.350635973,1,1.0
495,35,Female,4,62,210,53947,2.485117627,0,1.0
496,24,Female,4,23,71,27804,2.507402035,1,1.0
497,59,Male,4,46,166,65514,2.509124645,1,
498,28,Male,4,46,160,46320,2.624516299,0,1.0
499,61,Female,4,0,40,29524,2.626625934,0,0.0
500,29,Male,4,50,151,58978,2.636297243,0,
501,22,Female,4,33,119,57353,2.68835766,0,
502,25,Male,4,30,70,31288,2.795201444,1,1.0
503,26,Male,4,37,142,47467,2.809069326,0,1.0
504,20,Male,4,52,189,12683,2.85434847,1,
505,23,Female,4,23,75,35442,2.953464198,0,1.0
506,67,Female,4,0,38,41227,3.087326721,0,
507,20,Female,4,42,137,12200,3.233024918,1,
508,33,Male,4,57,186,107686,3.328245804,1,
509,22,Male,4,42,160,72709,3.711076188,1,
